Organisation Name,Section,Costs (Higher),Financial year: End Date
FEDERAZIONE INDUSTRIA MUSICALE ITALIANA (FIMI),II - In-house lobbyists and trade/business/professional associations,50000,01/12/2016
ENCON.Europe GmbH,I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2017
The Food Packaging Forum Foundation (FPF),III - Non-governmental organisations,9999,01/12/2016
European Cultural and Creative Industries Alliance (ECCIA),II - In-house lobbyists and trade/business/professional associations,99999,01/01/2016
"ANIMAL EYE, z.s.",III - Non-governmental organisations,1400,01/12/2016
Agence Française de D_veloppement (AFD),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",299999,01/12/2016
UNETO-VNI (UNETO-VNI),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Consiglio Italiano del Movimento Europeo (CIME),III - Non-governmental organisations,9999,01/12/2015
Environmental Services Association (ESA),II - In-house lobbyists and trade/business/professional associations,49999,01/03/2017
Network of European Regions Using Space Technologies (NEREUS),"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",299999,01/12/2016
The Huggard Consulting Group (HCG),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
FEDERATION EUROPEENNE DES CADRES DE LA CONSTRUCTION (FECC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Union Nationale des Mutualit_s Socialistes - National Federation of Socialist Mutual Health Funds (U.N.M.S.),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2015
BundesForum Kinder- und Jugendreisen e.V. (BundesForum),III - Non-governmental organisations,9999,01/12/2016
Access EU! - EEIG,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
CONFEDERACIÓN ESPA‹OLA DE TRANSPORTE EN AUTOB÷S (CONFEBUS),II - In-house lobbyists and trade/business/professional associations,10000,01/12/2016
European Academies' Science Advisory Council (EASAC),"IV - Think tanks, research and academic institutions",299999,01/12/2015
__________ _________ _________ ___,I - Professional consultancies/law firms/self-employed consultants,199999,01/12/2016
European Precious Metals Federation (EPMF),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Women's Eco-nomic and Social Think Tank (WESTT),"IV - Think tanks, research and academic institutions",24999,01/12/2016
Global Dairy Platform Inc. (GDP),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Assotelecomunicazioni (Asstel),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Think Tank Arinel srls (ARINEL),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2015
Association des Producteurs Europ_ens de Potasse (APEP),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Confederaci„n Provincial de Empresarios de Santa Cruz de Tenerife (CEOE-Tenerife),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
PRESTOMEDIA S.L.,I - Professional consultancies/law firms/self-employed consultants,99999,01/12/2016
Rockwool Norway (RW SC),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
BLUE FISH EUROPE,III - Non-governmental organisations,199999,01/12/2015
Verband der Mineralfarbenindustrie e. V. (VdMi),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
e-Line Consulting Marketing _s Szolgˆltat„ Kft. (e-Line Consulting),I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Association nationale interprofessionnelle du b_tail et des viandes (INTERBEV),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
____ ___________ _ ________,III - Non-governmental organisations,9999,01/12/2016
The Nordic Association of Marine Insurers (Cefor),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
CA Technologies,II - In-house lobbyists and trade/business/professional associations,399999,01/03/2017
Teknikf_retagen,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2016
Novelis Europe,II - In-house lobbyists and trade/business/professional associations,24999,01/03/2017
Deutscher Steuerberaterverband e.V. (DStV),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
Apple Inc.,II - In-house lobbyists and trade/business/professional associations,1249999,01/09/2016
Go4Circle vzw/asbl (Go4Circle),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Federation Francaise des pilotes maritimes (FFPM),II - In-house lobbyists and trade/business/professional associations,9999,01/01/2016
Technetium Consulting Oy,I - Professional consultancies/law firms/self-employed consultants,9999,01/12/2016
Seafish Industry Authority,II - In-house lobbyists and trade/business/professional associations,9999,01/04/2016
Transdev Group,II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
European Coordinating Committee of Manufacturers of Electrical Switchgear and Controlgear (CAPIEL),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
PensioPlus (PensioPlus),II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
Independent Regulators Group (IRG),III - Non-governmental organisations,499999,01/12/2016
Martin-Luther-Universit_t Halle-Wittenberg (MLU),"IV - Think tanks, research and academic institutions",9999,01/12/2016
Scotland Europa,"VI - Organisations representing local, regional and municipal authorities, other public or mixed entities, etc.",1999999,01/03/2017
Extended Producer Responsibility Alliance (EXPRA),II - In-house lobbyists and trade/business/professional associations,250000,01/12/2016
Orkla ASA (Orkla),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
Independent Retail Europe (formerly UGAL - Union of Groups of Independent Retailers of Europe),II - In-house lobbyists and trade/business/professional associations,741350,01/12/2017
Energy Materials Industrial Research Initiative (EMIRI),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Deutsches Institut fôr Wirtschaftsforschung (DIW Berlin),"IV - Think tanks, research and academic institutions",  ,01/12/2015
Royal Society of Chemistry (RSC),III - Non-governmental organisations,24999,01/12/2016
ELIPSO,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
IFPI Greece,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2015
TECNIBERIA (TECNIBERIA),III - Non-governmental organisations,9999,01/12/2015
"Baker & McKenzie Partnerschaft von Rechtsanw_lten, Wirtschaftsprôfern und Steuerberatern mbB (Baker & McKenzie DE)",I - Professional consultancies/law firms/self-employed consultants,9999,01/06/2016
Federation of European Movers Associations (FEDEMAC),II - In-house lobbyists and trade/business/professional associations,199999,01/12/2016
Corporate Europe Observatory (CEO),III - Non-governmental organisations,256929,01/12/2016
EQUITY IN HEALTH INSTITUTE (EHI),"IV - Think tanks, research and academic institutions",9999,01/01/2016
Rete nazionale operatori dell'usato (Rete ONU),II - In-house lobbyists and trade/business/professional associations,9999,01/03/2017
EUROPORTE,II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
GEIE des Utilisateurs d'ERTMS (EUG),II - In-house lobbyists and trade/business/professional associations,2749000,01/12/2015
Foro de la Industria Nuclear Espa_ola (Foro Nuclear),II - In-house lobbyists and trade/business/professional associations,399999,01/12/2015
European Council of Doctoral Candidates and Junior Researchers (EURODOC),III - Non-governmental organisations,9999,01/01/2016
European Institute for Asian Studies (EIAS),"IV - Think tanks, research and academic institutions",49999,01/12/2015
Fondazione Eni Enrico Mattei (FEEM),"IV - Think tanks, research and academic institutions",9999,01/12/2016
International Solid Waste Association (ISWA),III - Non-governmental organisations,9999,01/12/2016
Zahntechnikerinnung Rheinland Pfalz,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
PGGM (PGGM),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
Mouvement des Entreprises de France (MEDEF),II - In-house lobbyists and trade/business/professional associations,699999,01/12/2015
THE PACKAGING FEDERATION (PF),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2017
The Central Organisation of Finnish Trade Unions SAK (SAK),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
BOVAG,II - In-house lobbyists and trade/business/professional associations,9999,01/02/2016
Brazilian Sugarcane Industry Association (UNICA),II - In-house lobbyists and trade/business/professional associations,299999,01/03/2016
Sub-Zero Wolf Inc.,II - In-house lobbyists and trade/business/professional associations,75000,01/12/2016
"Zˆjmov_ sdru_enÍ prˆvnick_ch osob, Interoperabilita _elezni_nÍ infrastruktury (SIZI)",II - In-house lobbyists and trade/business/professional associations, -   ,01/12/2016
Eucomed (Eucomed),II - In-house lobbyists and trade/business/professional associations,499999,01/12/2015
"Bundesverband Garten-, Landschafts- und Sportplatzbau e.V. (BGL)",II - In-house lobbyists and trade/business/professional associations,24999,01/12/2016
European Historic Houses Association (EHHA),III - Non-governmental organisations,99999,01/12/2015
Poczta Polska (PP),II - In-house lobbyists and trade/business/professional associations,99999,01/12/2016
North of England Zoological Society (NEZS),III - Non-governmental organisations,9999,01/12/2016
CEC Government Relations (CZ) (CEC GR),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
Catalonia Institute of Construction Technology (ITeC),II - In-house lobbyists and trade/business/professional associations,91505,01/12/2016
Istituto Universitario di Studi Europei (IUSE),"IV - Think tanks, research and academic institutions",99999,01/12/2016
Finnish Composers' Copyright Society Teosto (Teosto),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
CAP 2020 asbl (CAP 2020),III - Non-governmental organisations,9999,01/12/2015
Deutsche Gesellschaft fôr Akustik (DEGA),III - Non-governmental organisations,9999,01/12/2016
Business Professional Women Europe (BPW EC aisbl),III - Non-governmental organisations,24999,01/12/2016
EsseBi Cert sas (SB Cert),I - Professional consultancies/law firms/self-employed consultants,24999,01/12/2016
Nederlands Agrarisch Jongeren Kontakt (NAJK),II - In-house lobbyists and trade/business/professional associations,9999,01/12/2015
Authors' Licensing & Collecting Society (ALCS),II - In-house lobbyists and trade/business/professional associations,99999,01/03/2016
Solum,II - In-house lobbyists and trade/business/professional associations,9999,01/12/2016
First Data Corporation (FDC),II - In-house lobbyists and trade/business/professional associations,299999,01/12/2016
INSOL Europe,III - Non-governmental organisations,9999,01/03/2017
AkzoNobel,II - In-house lobbyists and trade/business/professional associations,399999,01/12/2017
E.N.D.A.S. ENTE NAZIONALE DEMOCRATICO DI AZIONE SOCIALE (E.N.D.A.S.),II - In-house lobbyists and trade/business/professional associations,49999,01/12/2016
